GeoName,Year,gdp
Alabama,2017,216616
Alabama,2017,100
Alabama,2017,216616
Alabama,2017,116587
Alabama,2017,87147
Alabama,2017,12881
Alabama,2017,13458
Alabama,2017,-577
Alabama,2018,220809
Alabama,2018,102
Alabama,2018,226264
Alabama,2018,121558
Alabama,2018,91127
Alabama,2018,13579
Alabama,2018,14063
Alabama,2018,-484
Alabama,2019,224945
Alabama,2019,104
Alabama,2019,234526
Alabama,2019,126965
Alabama,2019,93616
Alabama,2019,13946
Alabama,2019,14562
Alabama,2019,-616
Alabama,2020,222081
Alabama,2020,103
Alabama,2020,235118
Alabama,2020,129834
Alabama,2020,97400
Alabama,2020,7885
Alabama,2020,15348
Alabama,2020,-7463
Alabama,2021,231893
Alabama,2021,107
Alabama,2021,257987
Alabama,2021,139054
Alabama,2021,107928
Alabama,2021,11005
Alabama,2021,16426
Alabama,2021,-5422
Alaska,2017,53551
Alaska,2017,100
Alaska,2017,53551
Alaska,2017,27154
Alaska,2017,22748
Alaska,2017,3649
Alaska,2017,3754
Alaska,2017,-105
Alaska,2018,52480
Alaska,2018,98
Alaska,2018,54762
Alaska,2018,28290
Alaska,2018,22229
Alaska,2018,4243
Alaska,2018,4352
Alaska,2018,-109
Alaska,2019,52325
Alaska,2019,98
Alaska,2019,54470
Alaska,2019,29024
Alaska,2019,21289
Alaska,2019,4158
Alaska,2019,4266
Alaska,2019,-108
Alaska,2020,50345
Alaska,2020,94
Alaska,2020,51262
Alaska,2020,28358
Alaska,2020,20762
Alaska,2020,2141
Alaska,2020,3819
Alaska,2020,-1677
Alaska,2021,51022
Alaska,2021,95
Alaska,2021,58646
Alaska,2021,29277
Alaska,2021,26347
Alaska,2021,3023
Alaska,2021,4191
Alaska,2021,-1169
Arizona,2017,333099
Arizona,2017,100
Arizona,2017,333099
Arizona,2017,181242
Arizona,2017,130082
Arizona,2017,21775
Arizona,2017,22512
Arizona,2017,-737
Arizona,2018,346398
Arizona,2018,104
Arizona,2018,353671
Arizona,2018,193323
Arizona,2018,137161
Arizona,2018,23186
Arizona,2018,23976
Arizona,2018,-790
Arizona,2019,359646
Arizona,2019,108
Arizona,2019,375545
Arizona,2019,204537
Arizona,2019,147056
Arizona,2019,23951
Arizona,2019,24779
Arizona,2019,-828
Arizona,2020,362604
Arizona,2020,109
Arizona,2020,386444
Arizona,2020,214322
Arizona,2020,160923
Arizona,2020,11199
Arizona,2020,24782
Arizona,2020,-13583
Arizona,2021,390805
Arizona,2021,117
Arizona,2021,432280
Arizona,2021,233548
Arizona,2021,179854
Arizona,2021,18878
Arizona,2021,27512
Arizona,2021,-8634
Arkansas,2017,123883
Arkansas,2017,100
Arkansas,2017,123883
Arkansas,2017,68590
Arkansas,2017,46430
Arkansas,2017,8863
Arkansas,2017,9688
Arkansas,2017,-825
Arkansas,2018,126371
Arkansas,2018,102
Arkansas,2018,129214
Arkansas,2018,70974
Arkansas,2018,48983
Arkansas,2018,9257
Arkansas,2018,10084
Arkansas,2018,-828
Arkansas,2019,127216
Arkansas,2019,103
Arkansas,2019,132637
Arkansas,2019,73920
Arkansas,2019,49781
Arkansas,2019,8936
Arkansas,2019,10144
Arkansas,2019,-1208
Arkansas,2020,128061
Arkansas,2020,103
Arkansas,2020,135885
Arkansas,2020,75945
Arkansas,2020,53982
Arkansas,2020,5957
Arkansas,2020,10514
Arkansas,2020,-4557
Arkansas,2021,135569
Arkansas,2021,109
Arkansas,2021,151932
Arkansas,2021,81664
Arkansas,2021,62001
Arkansas,2021,8268
Arkansas,2021,11711
Arkansas,2021,-3444
California,2017,2740550
California,2017,100
California,2017,2740550
California,2017,1460858
California,2017,1113553
California,2017,166139
California,2017,173542
California,2017,-7402
California,2018,2850970
California,2018,104
California,2018,2899531
California,2018,1540875
California,2018,1176919
California,2018,181737
California,2018,189440
California,2018,-7703
California,2019,2962792
California,2019,108
California,2019,3062159
California,2019,1624291
California,2019,1232347
California,2019,205521
California,2019,213596
California,2019,-8075
California,2020,2925147
California,2020,107
California,2020,3068809
California,2020,1675326
California,2020,1251175
California,2020,142308
California,2020,206828
California,2020,-64520
California,2021,3146185
California,2021,115
California,2021,3416939
California,2021,1849531
California,2021,1394699
California,2021,172709
California,2021,229724
California,2021,-57015
Colorado,2017,350209
Colorado,2017,100
Colorado,2017,350209
Colorado,2017,193227
Colorado,2017,135696
Colorado,2017,21286
Colorado,2017,22423
Colorado,2017,-1137
Colorado,2018,365205
Colorado,2018,104
Colorado,2018,373923
Colorado,2018,205553
Colorado,2018,145507
Colorado,2018,22863
Colorado,2018,23975
Colorado,2018,-1112
Colorado,2019,383596
Colorado,2019,110
Colorado,2019,397702
Colorado,2019,219299
Colorado,2019,153922
Colorado,2019,24481
Colorado,2019,25713
Colorado,2019,-1232
Colorado,2020,380922
Colorado,2020,109
Colorado,2020,397612
Colorado,2020,224468
Colorado,2020,162129
Colorado,2020,11015
Colorado,2020,25721
Colorado,2020,-14706
Colorado,2021,406962
Colorado,2021,116
Colorado,2021,447052
Colorado,2021,244737
Colorado,2021,183148
Colorado,2021,19167
Colorado,2021,28184
Colorado,2021,-9017
Connecticut,2017,273875
Connecticut,2017,100
Connecticut,2017,273875
Connecticut,2017,140537
Connecticut,2017,114928
Connecticut,2017,18410
Connecticut,2017,18962
Connecticut,2017,-552
Connecticut,2018,274583
Connecticut,2018,100
Connecticut,2018,280535
Connecticut,2018,143442
Connecticut,2018,117126
Connecticut,2018,19967
Connecticut,2018,20541
Connecticut,2018,-573
Connecticut,2019,274219
Connecticut,2019,100
Connecticut,2019,285466
Connecticut,2019,146514
Connecticut,2019,118805
Connecticut,2019,20147
Connecticut,2019,20728
Connecticut,2019,-581
Connecticut,2020,258625
Connecticut,2020,94
Connecticut,2020,275802
Connecticut,2020,146289
Connecticut,2020,117606
Connecticut,2020,11907
Connecticut,2020,20593
Connecticut,2020,-8687
Connecticut,2021,268847
Connecticut,2021,98
Connecticut,2021,295908
Connecticut,2021,154723
Connecticut,2021,125628
Connecticut,2021,15557
Connecticut,2021,21325
Connecticut,2021,-5769
Delaware,2017,69556
Delaware,2017,100
Delaware,2017,69556
Delaware,2017,31982
Delaware,2017,33717
Delaware,2017,3857
Delaware,2017,4046
Delaware,2017,-189
Delaware,2018,70856
Delaware,2018,102
Delaware,2018,73376
Delaware,2018,33270
Delaware,2018,35945
Delaware,2018,4161
Delaware,2018,4347
Delaware,2018,-186
Delaware,2019,74597
Delaware,2019,107
Delaware,2019,78686
Delaware,2019,34727
Delaware,2019,39590
Delaware,2019,4368
Delaware,2019,4571
Delaware,2019,-203
Delaware,2020,72550
Delaware,2020,104
Delaware,2020,77615
Delaware,2020,34940
Delaware,2020,39818
Delaware,2020,2857
Delaware,2020,4611
Delaware,2020,-1754
Delaware,2021,74437
Delaware,2021,107
Delaware,2021,82953
Delaware,2021,37125
Delaware,2021,42339
Delaware,2021,3489
Delaware,2021,4853
Delaware,2021,-1364
District of Columbia,2017,134299
District of Columbia,2017,100
District of Columbia,2017,134299
District of Columbia,2017,91578
District of Columbia,2017,38297
District of Columbia,2017,4425
District of Columbia,2017,5216
District of Columbia,2017,-791
District of Columbia,2018,138057
District of Columbia,2018,103
District of Columbia,2018,141240
District of Columbia,2018,96390
District of Columbia,2018,40172
District of Columbia,2018,4678
District of Columbia,2018,5540
District of Columbia,2018,-862
District of Columbia,2019,138867
District of Columbia,2019,103
District of Columbia,2019,145171
District of Columbia,2019,98970
District of Columbia,2019,41454
District of Columbia,2019,4747
District of Columbia,2019,5659
District of Columbia,2019,-912
District of Columbia,2020,137762
District of Columbia,2020,103
District of Columbia,2020,146935
District of Columbia,2020,100960
District of Columbia,2020,44148
District of Columbia,2020,1828
District of Columbia,2020,5268
District of Columbia,2020,-3441
District of Columbia,2021,142676
District of Columbia,2021,106
District of Columbia,2021,156140
District of Columbia,2021,105658
District of Columbia,2021,47517
District of Columbia,2021,2966
District of Columbia,2021,5674
District of Columbia,2021,-2709
Far West,2017,3797441
Far West,2017,100
Far West,2017,3797441
Far West,2017,2013797
Far West,2017,1539393
Far West,2017,244251
Far West,2017,254539
Far West,2017,-10287
Far West,2018,3956948
Far West,2018,104
Far West,2018,4026579
Far West,2018,2131811
Far West,2018,1627746
Far West,2018,267022
Far West,2018,277719
Far West,2018,-10697
Far West,2019,4108526
Far West,2019,108
Far West,2019,4252235
Far West,2019,2248811
Far West,2019,1707063
Far West,2019,296362
Far West,2019,307615
Far West,2019,-11254
Far West,2020,4048650
Far West,2020,107
Far West,2020,4254017
Far West,2020,2311188
Far West,2020,1745916
Far West,2020,196914
Far West,2020,297507
Far West,2020,-100593
Far West,2021,4342903
Far West,2021,114
Far West,2021,4732879
Far West,2021,2545037
Far West,2021,1941350
Far West,2021,246491
Far West,2021,331048
Far West,2021,-84557
Florida,2017,1014867
Florida,2017,100
Florida,2017,1014867
Florida,2017,542129
Florida,2017,390863
Florida,2017,81875
Florida,2017,84352
Florida,2017,-2477
Florida,2018,1050434
Florida,2018,104
Florida,2018,1072086
Florida,2018,574611
Florida,2018,410138
Florida,2018,87336
Florida,2018,89924
Florida,2018,-2587
Florida,2019,1079271
Florida,2019,106
Florida,2019,1127989
Florida,2019,606509
Florida,2019,429978
Florida,2019,91503
Florida,2019,94287
Florida,2019,-2784
Florida,2020,1068378
Florida,2020,105
Florida,2020,1140133
Florida,2020,617831
Florida,2020,469546
Florida,2020,52756
Florida,2020,93460
Florida,2020,-40705
Florida,2021,1164778
Florida,2021,115
Florida,2021,1292391
Florida,2021,692319
Florida,2021,525717
Florida,2021,74356
Florida,2021,107673
Florida,2021,-33317
Georgia,2017,583543
Georgia,2017,100
Georgia,2017,583543
Georgia,2017,301510
Georgia,2017,250876
Georgia,2017,31158
Georgia,2017,32559
Georgia,2017,-1402
Georgia,2018,600935
Georgia,2018,103
Georgia,2018,612803
Georgia,2018,315575
Georgia,2018,262493
Georgia,2018,34736
Georgia,2018,36095
Georgia,2018,-1359
Georgia,2019,620792
Georgia,2019,106
Georgia,2019,646939
Georgia,2019,329934
Georgia,2019,280672
Georgia,2019,36333
Georgia,2019,38069
Georgia,2019,-1736
Georgia,2020,602322
Georgia,2020,103
Georgia,2020,637931
Georgia,2020,334619
Georgia,2020,284813
Georgia,2020,18499
Georgia,2020,37761
Georgia,2020,-19263
Georgia,2021,639236
Georgia,2021,110
Georgia,2021,701606
Georgia,2021,366404
Georgia,2021,311338
Georgia,2021,23864
Georgia,2021,43019
Georgia,2021,-19154
Great Lakes,2017,2669538
Great Lakes,2017,100
Great Lakes,2017,2669538
Great Lakes,2017,1453616
Great Lakes,2017,1040749
Great Lakes,2017,175173
Great Lakes,2017,182766
Great Lakes,2017,-7593
Great Lakes,2018,2722152
Great Lakes,2018,102
Great Lakes,2018,2781326
Great Lakes,2018,1514699
Great Lakes,2018,1083783
Great Lakes,2018,182845
Great Lakes,2018,191293
Great Lakes,2018,-8448
Great Lakes,2019,2754724
Great Lakes,2019,103
Great Lakes,2019,2868748
Great Lakes,2019,1558946
Great Lakes,2019,1124530
Great Lakes,2019,185272
Great Lakes,2019,195406
Great Lakes,2019,-10134
Great Lakes,2020,2649400
Great Lakes,2020,99
Great Lakes,2020,2804785
Great Lakes,2020,1556182
Great Lakes,2020,1139605
Great Lakes,2020,108998
Great Lakes,2020,195467
Great Lakes,2020,-86470
Great Lakes,2021,2788919
Great Lakes,2021,104
Great Lakes,2021,3072106
Great Lakes,2021,1663819
Great Lakes,2021,1257276
Great Lakes,2021,151011
Great Lakes,2021,215523
Great Lakes,2021,-64512
Hawaii,2017,87436
Hawaii,2017,100
Hawaii,2017,87436
Hawaii,2017,47715
Hawaii,2017,31790
Hawaii,2017,7932
Hawaii,2017,8170
Hawaii,2017,-238
Hawaii,2018,88836
Hawaii,2018,102
Hawaii,2018,90934
Hawaii,2018,49071
Hawaii,2018,33135
Hawaii,2018,8728
Hawaii,2018,8973
Hawaii,2018,-245
Hawaii,2019,88945
Hawaii,2019,102
Hawaii,2019,93356
Hawaii,2019,50412
Hawaii,2019,33885
Hawaii,2019,9059
Hawaii,2019,9315
Hawaii,2019,-256
Hawaii,2020,79593
Hawaii,2020,91
Hawaii,2020,84615
Hawaii,2020,47892
Hawaii,2020,31951
Hawaii,2020,4772
Hawaii,2020,8281
Hawaii,2020,-3509
Hawaii,2021,84122
Hawaii,2021,96
Hawaii,2021,93090
Hawaii,2021,51392
Hawaii,2021,36625
Hawaii,2021,5073
Hawaii,2021,8319
Hawaii,2021,-3246
Idaho,2017,72935
Idaho,2017,100
Idaho,2017,72935
Idaho,2017,39471
Idaho,2017,28975
Idaho,2017,4489
Idaho,2017,4793
Idaho,2017,-304
Idaho,2018,77652
Idaho,2018,106
Idaho,2018,79072
Idaho,2018,42237
Idaho,2018,32193
Idaho,2018,4642
Idaho,2018,5112
Idaho,2018,-470
Idaho,2019,81261
Idaho,2019,111
Idaho,2019,84550
Idaho,2019,44626
Idaho,2019,34850
Idaho,2019,5074
Idaho,2019,5413
Idaho,2019,-340
Idaho,2020,82819
Idaho,2020,114
Idaho,2020,88188
Idaho,2020,47682
Idaho,2020,38776
Idaho,2020,1730
Idaho,2020,5766
Idaho,2020,-4036
Idaho,2021,87993
Idaho,2021,121
Idaho,2021,98793
Idaho,2021,53053
Idaho,2021,41329
Idaho,2021,4411
Idaho,2021,6438
Idaho,2021,-2026
Illinois,2017,832827
Illinois,2017,100
Illinois,2017,832827
Illinois,2017,453339
Illinois,2017,318234
Illinois,2017,61254
Illinois,2017,64249
Illinois,2017,-2996
Illinois,2018,851517
Illinois,2018,102
Illinois,2018,871024
Illinois,2018,472780
Illinois,2018,334382
Illinois,2018,63863
Illinois,2018,67304
Illinois,2018,-3442
Illinois,2019,857985
Illinois,2019,103
Illinois,2019,895800
Illinois,2019,485504
Illinois,2019,345490
Illinois,2019,64807
Illinois,2019,68906
Illinois,2019,-4100
Illinois,2020,810210
Illinois,2020,97
Illinois,2020,860748
Illinois,2020,483688
Illinois,2020,335941
Illinois,2020,41119
Illinois,2020,67432
Illinois,2020,-26313
Illinois,2021,852749
Illinois,2021,102
Illinois,2021,943993
Illinois,2021,517269
Illinois,2021,374469
Illinois,2021,52255
Illinois,2021,75311
Illinois,2021,-23056
Indiana,2017,357536
Indiana,2017,100
Indiana,2017,357536
Indiana,2017,184495
Indiana,2017,153591
Indiana,2017,19450
Indiana,2017,20493
Indiana,2017,-1043
Indiana,2018,368763
Indiana,2018,103
Indiana,2018,377377
Indiana,2018,193408
Indiana,2018,162943
Indiana,2018,21026
Indiana,2018,22228
Indiana,2018,-1202
Indiana,2019,371045
Indiana,2019,104
Indiana,2019,385446
Indiana,2019,198806
Indiana,2019,165600
Indiana,2019,21040
Indiana,2019,22613
Indiana,2019,-1573
Indiana,2020,359185
Indiana,2020,100
Indiana,2020,377901
Indiana,2020,200728
Indiana,2020,165798
Indiana,2020,11376
Indiana,2020,22907
Indiana,2020,-11532
Indiana,2021,384051
Indiana,2021,107
Indiana,2021,422952
Indiana,2021,216806
Indiana,2021,188549
Indiana,2021,17597
Indiana,2021,25168
Indiana,2021,-7571
Iowa,2017,187125
Iowa,2017,100
Iowa,2017,187125
Iowa,2017,92657
Iowa,2017,83740
Iowa,2017,10728
Iowa,2017,11936
Iowa,2017,-1207
Iowa,2018,189245
Iowa,2018,101
Iowa,2018,193155
Iowa,2018,96343
Iowa,2018,85976
Iowa,2018,10836
Iowa,2018,12468
Iowa,2018,-1632
Iowa,2019,188318
Iowa,2019,101
Iowa,2019,196085
Iowa,2019,98508
Iowa,2019,87251
Iowa,2019,10326
Iowa,2019,12837
Iowa,2019,-2511
Iowa,2020,187137
Iowa,2020,100
Iowa,2020,199447
Iowa,2020,100018
Iowa,2020,94906
Iowa,2020,4523
Iowa,2020,12870
Iowa,2020,-8347
Iowa,2021,198471
Iowa,2021,106
Iowa,2021,220818
Iowa,2021,105287
Iowa,2021,106794
Iowa,2021,8737
Iowa,2021,14219
Iowa,2021,-5482
Kansas,2017,166274
Kansas,2017,100
Kansas,2017,166274
Kansas,2017,85262
Kansas,2017,70500
Kansas,2017,10511
Kansas,2017,11647
Kansas,2017,-1136
Kansas,2018,169797
Kansas,2018,102
Kansas,2018,173373
Kansas,2018,88767
Kansas,2018,73827
Kansas,2018,10779
Kansas,2018,12079
Kansas,2018,-1300
Kansas,2019,170352
Kansas,2019,102
Kansas,2019,176918
Kansas,2019,92003
Kansas,2019,74786
Kansas,2019,10129
Kansas,2019,12095
Kansas,2019,-1966
Kansas,2020,168541
Kansas,2020,101
Kansas,2020,177721
Kansas,2020,93413
Kansas,2020,79664
Kansas,2020,4643
Kansas,2020,12359
Kansas,2020,-7716
Kansas,2021,172840
Kansas,2021,104
Kansas,2021,191832
Kansas,2021,97792
Kansas,2021,85694
Kansas,2021,8345
Kansas,2021,13276
Kansas,2021,-4931
Kentucky,2017,203564
Kentucky,2017,100
Kentucky,2017,203564
Kentucky,2017,112469
Kentucky,2017,76992
Kentucky,2017,14103
Kentucky,2017,14669
Kentucky,2017,-566
Kentucky,2018,205940
Kentucky,2018,101
Kentucky,2018,210509
Kentucky,2018,116565
Kentucky,2018,79205
Kentucky,2018,14739
Kentucky,2018,15290
Kentucky,2018,-552
Kentucky,2019,211740
Kentucky,2019,104
Kentucky,2019,220683
Kentucky,2019,121061
Kentucky,2019,84035
Kentucky,2019,15588
Kentucky,2019,16324
Kentucky,2019,-737
Kentucky,2020,206289
Kentucky,2020,101
Kentucky,2020,218755
Kentucky,2020,122195
Kentucky,2020,87615
Kentucky,2020,8945
Kentucky,2020,16288
Kentucky,2020,-7343
Kentucky,2021,214565
Kentucky,2021,105
Kentucky,2021,237926
Kentucky,2021,131024
Kentucky,2021,93924
Kentucky,2021,12978
Kentucky,2021,17658
Kentucky,2021,-4680
Louisiana,2017,239831
Louisiana,2017,100
Louisiana,2017,239831
Louisiana,2017,121139
Louisiana,2017,100810
Louisiana,2017,17882
Louisiana,2017,18571
Louisiana,2017,-689
Louisiana,2018,245220
Louisiana,2018,102
Louisiana,2018,256444
Louisiana,2018,126295
Louisiana,2018,112589
Louisiana,2018,17560
Louisiana,2018,18229
Louisiana,2018,-668
Louisiana,2019,246361
Louisiana,2019,103
Louisiana,2019,257097
Louisiana,2019,128841
Louisiana,2019,110766
Louisiana,2019,17490
Louisiana,2019,18282
Louisiana,2019,-792
Louisiana,2020,228825
Louisiana,2020,95
